INFO:root:processing file H93-1105.txt
DEBUG:root:continuing : corpo
DEBUG:root:continuing : seman
DEBUG:root:continuing : statisti
DEBUG:root:continuing : ex
DEBUG:root:continuing : match
DEBUG:root:continuing : im
DEBUG:root:continuing : index
DEBUG:root:continuing : auto
DEBUG:root:continuing : pro
DEBUG:root:continuing : caus
DEBUG:root:continuing : inves
DEBUG:root:continuing : con
DEBUG:root:continuing : 
DEBUG:root:continuing : 
DEBUG:root:continuing : ex
DEBUG:root:continuing : re
DEBUG:root:continuing : experimen
DEBUG:root:continuing : detri
DEBUG:root:continuing : per
DEBUG:root:continuing : orig
DEBUG:root:continuing : rudimen
DEBUG:root:continuing : per
DEBUG:root:continuing : cur
DEBUG:root:continuing : word
DEBUG:root:continuing : tech
DEBUG:root:continuing : cor
DEBUG:root:continuing : con
DEBUG:root:continuing : con
DEBUG:root:continuing : in
DEBUG:root:continuing : sim
